ITEM NAME,VARIABLE,MIN,MAX,AVG,RMS,STDDEV
P1000,Ux,7.44330481,7.44680906,7.4442701492233025,7.44427018351851,7.14566726967254E-4
P1000,Uy,-1.53129015E-4,1.84831539E-4,-1.6229097326666664E-5,8.286277400864135E-5,8.125795786486853E-5
P1000,Uz,0.0522158313,0.0531727425,0.05287499626407768,0.052875334842766276,1.8922158551668128E-4
P1000,UMag,7.443493825744649,7.446992123060199,7.444457929508015,7.444457963688404,7.133785158287599E-4
P1000,p,4.47132537,4.73526055,4.6782052502589,4.6785570970922,0.05737723592030453
P1000,k,0.340894358,0.340946485,0.34093274814563107,0.3409327482741904,9.362701721323978E-6
P1001,Ux,7.44509441,7.44860226,7.446060132718448,7.446060167084187,7.153871221582906E-4
P1001,Uy,-1.53175937E-4,1.84393966E-4,-1.6334326313822005E-5,8.278347145170329E-5,8.115597901244588E-5
P1001,Uz,0.052190973,0.0531510808,0.05285256250032363,0.05285290334480956,1.8981339564739377E-4
P1001,UMag,7.445283224381176,7.448785104776667,7.446247708611945,7.446247742862364,7.141948023997589E-4
P1001,p,4.47064158,4.73458701,4.677530473527508,4.677882394281373,0.057379124680989296
P1001,k,0.339966549,0.340018952,0.340005139631068,0.34000513976134156,9.412087209399223E-6
P1002,Ux,7.4469872,7.45049813,7.447953026440129,7.447953060880197,7.162513660324037E-4
P1002,Uy,-1.53225554E-4,1.83931232E-4,-1.644560668897994E-5,8.269990730962014E-5,8.104823680778714E-5
P1002,Uz,0.0521646829,0.0531281757,0.052828838416828484,0.0528291816719494,1.9044069014153547E-4
P1002,UMag,7.44717580157454,7.450680744139982,7.448140386368056,7.448140420692276,7.150546964310792E-4
P1002,p,4.46991878,4.73387446,4.676816905080906,4.677168903757662,0.05738109991192245
P1002,k,0.33898537,0.33903805,0.33902418361488673,0.3390241837469997,9.464619285048267E-6
P1003,Ux,7.44899191,7.45250643,7.449958015469256,7.449958049990904,7.171957003700782E-4
P1003,Uy,-1.532781E-4,1.83441113E-4,-1.6563475754922332E-5,8.261173215675402E-5,8.093422984655731E-5
P1003,Uz,0.0521368326,0.053103911,0.05280370976245955,0.05280405558565601,1.911062923712341E-4
P1003,UMag,7.449180286390867,7.45268880004718,7.450145146846958,7.450145181252193,7.159944235830928E-4
P1003,p,4.46915299,4.73312024,4.67606107368932,4.676413155147067,0.057383209739671426
P1003,k,0.337946124,0.337999079,0.33798514699352755,0.33798514712758243,9.519303744833081E-6
P1004,Ux,7.45087597,7.4543946,7.451842598252428,7.451842632849148,7.18065903512505E-4
P1004,Uy,-1.53327497E-4,1.82980416E-4,-1.6674265694252427E-5,8.252916869265726E-5,8.082717704249331E-5
P1004,Uz,0.0521106589,0.0530811062,0.052780090364401296,0.05278043861690847,1.917334578949504E-4
P1004,UMag,7.451064134916644,7.454576740844759,7.452029514995972,7.452029549475753,7.168602963528103E-4
P1004,p,4.46843316,4.73241099,4.675350640032362,4.675702799422563,0.05738520085329395
P1004,k,0.336969263,0.337022529,0.3370085139061489,0.3370085140420647,9.571290560040882E-6
P1005,Ux,7.45261013,7.45613184,7.453577170032362,7.453577204698834,7.188730390035325E-4
P1005,Uy,-1.53372962E-4,1.82556395E-4,-1.6776238293305498E-5,8.245344857880415E-5,8.07287372084051E-5
P1005,Uz,0.0520865666,0.0530601142,0.05275835056310681,0.05275870106375268,1.9231171245286084E-4
P1005,UMag,7.452798100446149,7.4563137700718904,7.45376388938513,7.453763923934175,7.176634554942113E-4
P1005,p,4.46777053,4.73175828,4.674696746860841,4.675048977926292,0.05738702726517547
P1005,k,0.33607016,0.336123668,0.3361096069417476,0.33610960707945553,9.621326854943053E-6
P1006,Ux,7.454698,7.45822382,7.455665403009708,7.45566543776028,7.198453165643199E-4
P1006,Uy,-1.53427702E-4,1.82045924E-4,-1.6898999833779937E-5,8.236263848704323E-5,8.061034687411586E-5
P1006,Uz,0.0520575653,0.0530348429,0.0527321788841424,0.05273253210689056,1.9300915794380935E-4
P1006,UMag,7.454885736504357,7.458405496567213,7.4558518849363375,7.4558519195688975,7.186309598089743E-4
P1006,p,4.466973,4.73097232,4.673909566084142,4.674261883382237,0.05738921943360736
P1006,k,0.334987768,0.335041587,0.3350274450679611,0.33502744520779193,9.679581340336328E-6
P1007,Ux,7.45634386,7.45987276,7.457311292847896,7.457311327663058,7.205935034115068E-4
P1007,Uy,-1.53470833E-4,1.8164357E-4,-1.699575807861489E-5,8.229133090015517E-5,8.051712456770938E-5
