umag,tke,height
0.0801,1.58,0.00907
0.099,1.77,0.0198
0.188,2.26,0.0579
0.218,2.32,0.0686
0.327,2.33,0.107
0.357,2.33,0.117
0.463,2.34,0.156
0.492,2.34,0.166
0.592,2.35,0.204
0.619,2.35,0.215
0.713,2.36,0.253
0.738,2.36,0.264
0.827,2.36,0.302
0.851,2.37,0.313
0.928,2.37,0.351
0.95,2.37,0.362
1.04,2.38,0.4
1.07,2.38,0.41
1.17,2.39,0.449
1.19,2.39,0.459
1.24,2.39,0.497
1.25,2.39,0.508
1.33,2.4,0.546
1.42,2.4,0.606
1.48,2.41,0.644
1.58,2.41,0.703
1.64,2.42,0.742
1.73,2.42,0.801
1.78,2.42,0.839
1.87,2.43,0.899
1.92,2.43,0.937
1.99,2.44,0.996
2.03,2.44,1.03
2.11,2.44,1.09
2.18,2.45,1.13
2.27,2.45,1.19
2.31,2.45,1.23
2.34,2.46,1.29
2.41,2.46,1.33
2.46,2.46,1.39
2.59,2.47,1.52
2.64,2.47,1.58
2.77,2.48,1.72
2.82,2.48,1.78
2.94,2.49,1.91
2.98,2.49,1.97
3.08,2.5,2.11
3.13,2.5,2.17
3.26,2.51,2.3
3.31,2.51,2.36
3.4,2.52,2.5
3.42,2.52,2.56
3.52,2.52,2.69
3.55,2.52,2.75
3.72,2.53,3.09
3.76,2.54,3.14
3.93,2.55,3.48
3.96,2.55,3.54
4.11,2.56,3.87
4.14,2.56,3.93
4.27,2.57,4.26
4.29,2.57,4.32
4.46,2.58,4.65
4.49,2.59,4.71
4.6,2.6,5.04
4.61,2.6,5.1
4.71,2.61,5.43
4.73,2.61,5.49
4.92,2.63,6.21
4.93,2.63,6.27
5.12,2.65,6.99
5.13,2.65,7.05
5.28,2.67,7.77
5.3,2.67,7.83
5.42,2.69,8.55
5.43,2.69,8.61
5.59,2.71,9.34
5.61,2.71,9.4
5.71,2.73,10.1
5.72,2.73,10.2
5.81,2.75,10.9
5.82,2.75,11
5.99,2.78,12.5
5.98,2.78,12.5
6.15,2.81,14
6.16,2.81,14.1
6.3,2.84,15.6
6.3,2.84,15.6
6.43,2.86,17.1
6.44,2.86,17.2
6.55,2.88,18.7
6.55,2.88,18.8
6.66,2.89,20.3
6.66,2.89,20.3
6.76,2.9,21.8
6.77,2.9,21.9
6.86,2.91,23.4
6.87,2.91,23.5
6.96,2.92,25
6.95,2.92,25
7.04,2.93,26.5
7.05,2.93,26.6
7.13,2.93,28.1
7.13,2.93,28.1
7.21,2.93,29.6
7.21,2.93,29.7
7.29,2.93,31.2
7.29,2.93,31.3
7.37,2.93,32.8
7.37,2.93,32.8
7.45,2.93,34.3
7.45,2.93,34.4
7.52,2.92,35.9
7.52,2.92,36
7.59,2.92,37.5
7.59,2.92,37.5
7.66,2.91,39
7.66,2.91,39.1
7.73,2.91,40.6
7.73,2.91,40.6
7.8,2.9,42.1
7.8,2.9,42.2
7.86,2.9,43.7
7.87,2.9,43.8
7.93,2.89,45.3
7.93,2.89,45.3
7.99,2.89,46.8
7.99,2.88,46.9
8.05,2.88,48.4
8.05,2.88,48.5
8.11,2.87,50
8.11,2.87,50
8.17,2.87,51.5
8.17,2.87,51.6
8.23,2.86,53.1
8.23,2.86,53.1
8.28,2.86,54.7
8.28,2.86,54.7
8.33,2.85,56.2
8.34,2.85,56.3
8.39,2.85,57.8
8.39,2.85,57.8
8.44,2.84,59.3
8.44,2.84,59.4
8.49,2.84,60.9
8.49,2.84,61
8.54,2.84,62.5
8.54,2.84,62.5
8.59,2.83,64
8.59,2.83,64.1
8.63,2.83,65.6
8.64,2.83,65.6
8.68,2.83,67.2
8.68,2.83,67.2
8.73,2.82,68.7
8.73,2.82,68.8
8.77,2.82,70.3
8.77,2.82,70.3
8.81,2.82,71.8
8.82,2.82,71.9
8.86,2.82,73.4
8.86,2.82,73.5
8.9,2.81,75
8.9,2.81,75
8.94,2.81,76.5
8.94,2.81,76.6
8.98,2.81,78.1
8.98,2.81,78.1
9.02,2.81,79.7
9.02,2.81,79.7
9.06,2.81,81.2
9.06,2.81,81.3
9.1,2.81,82.8
9.1,2.81,82.8
9.13,2.81,84.3
9.14,2.81,84.4
9.17,2.81,85.9
9.17,2.81,86
9.21,2.81,87.5
9.21,2.81,87.5
9.24,2.8,89
9.25,2.8,89.1
9.28,2.8,90.6
9.28,2.8,90.6
9.31,2.8,92.2
9.32,2.8,92.2
9.35,2.8,93.7
9.35,2.8,93.8
9.38,2.8,95.3
9.38,2.8,95.3
9.42,2.8,96.8
9.42,2.8,96.9
9.45,2.8,98.4
9.45,2.8,98.5
9.48,2.8,100
9.48,2.8,100
9.52,2.8,102
9.51,2.8,102
9.55,2.8,103
9.55,2.8,103
9.58,2.8,105
9.58,2.8,105
9.61,2.8,106
9.61,2.8,106
9.64,2.8,108
9.64,2.8,108
9.67,2.8,109
9.67,2.8,109
9.7,2.8,111
9.7,2.8,111
9.73,2.8,112
9.73,2.8,113
9.76,2.8,114
9.76,2.8,114
9.79,2.8,116
9.79,2.8,116
9.82,2.8,117
9.82,2.8,117
9.84,2.8,119
9.84,2.8,119
9.87,2.8,120
9.87,2.8,120
9.9,2.8,122
9.9,2.8,122
9.93,2.8,123
9.93,2.8,123
9.95,2.8,125
9.95,2.8,125
9.98,2.8,127
9.98,2.8,127
10,2.8,128
10,2.8,128
10,2.8,130
10,2.8,130
10.1,2.8,131
10.1,2.8,131
10.1,2.8,133
10.1,2.8,133
10.1,2.8,134
10.1,2.8,134
10.1,2.8,136
10.1,2.8,136
10.2,2.8,137
10.2,2.8,138
10.2,2.8,139
10.2,2.8,139
10.2,2.8,141
10.2,2.8,141
10.2,2.8,142
10.2,2.8,142
10.3,2.8,144
10.3,2.8,144
10.3,2.8,145
10.3,2.8,145
10.3,2.8,147
10.3,2.8,147
10.3,2.81,148
